Symbol,Mark,Mark %Change,Volume,Market Cap
RNY,15.537,,0,20 M
ROX,1.79100,-3.19%,"755,437",278 M
RPC,0,,0,0
RPI,.7399,,"14,913",7.4 M
RTK,1.400,-4.76%,"1,315,856",319 M
RVP,3.570,0.00%,"1,849",98 M
RVR,21.750,,0,0
RWC,5.175,-1.05%,"11,741",71 M
SA,7.610,-1.04%,"182,294",368 M
SAL,28.127,0.00%,0,48 M
SBI,9.630,-0.10%,"1,672",136 M
SCEpB,21.490,+1.83%,"2,000",14 M
SCEpC,21.270,-0.61%,"4,150",25 M
SCEpD,22.380,-0.09%,300,37 M
SCEpE,24.260,+0.29%,"2,341",31 M
SDOpA,21.750,,0,0
SDOpB,20.760,,0,0
SDOpC,20.520,,0,0
SDOpH,26.430,,0,0
SEB,2870.090,+1.09%,41,"3,361 M"
SED,1.110,,0,0
SGA,38.870,-1.57%,393,192 M
SGB,13.400,+2.13%,864,34 M
SGS,3.260,,0,248 M
SGS/U,0,,0,0
SGS/WS,.0002,,0,0
SHZ,.0990,,0,0
SIF,29.150,+2.60%,"4,781",158 M
SIHI,.11000,+1000.00%,0,0
SILU,1.150,,0,0
SIM,12.920,+1.02%,"6,977","2,129 M"
SLI,42.700,+0.71%,"5,528",177 M
SNT,.1220,,0,0
SOQ,.1100,0.00%,"8,080",6.2 M
SSE,14.660,-3.93%,"659,923",706 M
SSN,.29700,+2.41%,"89,836",42 M
SSY,1.530,+5.52%,"13,578",14 M
STS,6.850,+4.58%,"19,917",101 M
SUF,0,,0,0
SVT,6.420,+1.74%,580,16 M
TA,9.030,-1.63%,"80,421",340 M
TAT,6.970,-2.66%,"33,361",261 M
TBV,0,,0,0
TCX,14.800,+0.89%,"6,754",168 M
TF,0,-100.00%,0,0
TGB,1.410,0.00%,"66,808",275 M
TGC,.450,-0.35%,"11,870",27 M
THM,.3976,-7.53%,"77,066",39 M
TIK,5.300,0.00%,0,17 M
TIS,26.300,+0.54%,"20,333",230 M
TIV,.0312,,0,0
TLB/WS,.0001,,0,0
TLR,.05950,-8.32%,"241,621",4.5 M
TMP,46.950,-0.19%,"9,297",697 M
TOF,4.910,-0.41%,"5,176",25 M
TPI,.5500,+1.85%,"52,025",16 M
TPLM,7.690,-5.06%,"921,775",663 M
TRE,6.640,,0,0
TRT,3.710,0.00%,0,13 M
TSH,71.820,,0,152 M
TWO,10.140,+0.40%,"1,078,138","3,712 M"
TWO/WS,.0137,,0,0
U,0,,0,0
UEC,1.077,-2.97%,"133,726",98 M
ULU,.200,,0,0
UMH,9.780,-0.10%,"17,065",222 M
UPG,1.170,,0,0
UQM,1.050,-2.78%,"10,923",42 M
URG,.8028,-3.28%,"195,897",103 M
URZ,.9801,-1.99%,"12,148",84 M
UTG,30.163,+0.54%,"56,004",875 M
UUU,5.990,0.00%,"21,908",14 M
UVE,14.470,+1.33%,"58,120",503 M
UWN,1.179,-0.92%,"1,105",19 M
VAZ,0,,0,0
VCF,14.260,-0.07%,92,69 M
VFL,12.960,,"3,151",59 M
VGZ,.3402,-3.21%,"74,872",28 M
VHC,5.770,+3.04%,"212,495",298 M
VII,1.800,+0.56%,"104,617",16 M
VK,0,,0,0
VKI,11.630,-0.09%,"22,450",516 M
VKL,13.510,,0,0
VMM,13.560,-0.15%,"6,261",156 M
VMV,14.220,,0,0
VOG,1.220,,0,0
VRNG,1.05500,+4.46%,"1,378,997",98 M
VRNG/WS,1.186,,0,0
VSR,3.420,-0.29%,"590,313",33 M
VTG,.9510,-4.23%,"213,071",291 M
VTG.UN,1.710,,0,0
VTG/WS,0,,0,0
WAC,21.270,+0.19%,"155,644",802 M
WEX,105.000,-0.37%,"64,202","4,069 M"
WGA,1.080,-5.26%,"8,800",13 M
WISp,0,,0,0
WLB,32.610,-2.25%,"38,275",554 M
WLBp,0,,0,0
WRN,.530,-1.87%,434,50 M
WSC,0,,0,0
WSO/B,97.870,,17,478 M
WSR,14.600,+0.48%,"23,245",332 M
WTT,2.600,0.00%,"3,900",50 M
WYY,1.550,0.00%,"125,624",125 M
WZE,4.730,,0,0
XFN,0,,0,0
XG,4.000,,0,0
XPL,1.050,-1.87%,"41,339",41 M
XPO,39.900,+3.74%,"408,990","2,573 M"
XRA,.5849,-0.86%,"62,032",52 M
YMI,2.940,,0,0
ZBB,.8064,-4.57%,"85,465",31 M
