Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
CNET,2.0900,+.08,+3.98%,"505,475",2.0700,2.0900,2.1400,1.8600,-.12,,
CNHI,7.8499,-.1001,-1.26%,"269,858",7.84,7.85,7.92,7.75,.54,40.02%,0.335
CNIT,3.9301,+.4301,+12.29%,"153,638",3.93,3.96,4.10,3.473,-4.36,++,1.046
CNQR,128.25,+.03,+0.02%,"304,578",128.24,128.25,128.26,128.12,-1.56,10.55%,2.365
CNSI,21.06,-.01,-0.05%,"87,778",21.05,21.07,21.17,20.93,.27,40.58%,0.014
CNSL,27.37,-.59,-2.11%,"241,085",27.37,27.38,27.55,27.126,.78,37.34%,0.032
CNVR,34.87,+.065,+0.19%,"199,520",34.86,34.87,34.91,34.66,1.39,10.75%,1.105
CODE,17.24,-.42,-2.38%,"689,360",17.24,17.25,17.46,16.85,-1.61,82.84%,0.179
COMM,22.21,-.61,-2.67%,"1,044,034",22.21,22.22,22.25,20.50,.5,58.50%,11.373
CONN,31.55,+.24,+0.77%,"341,530",31.51,31.56,31.62,30.56,2.66,55.40%,0.433
COSI,1.808,-.002,-0.11%,"88,457",1.790,1.810,1.830,1.760,-.81,,
COST,130.85,+.41,+0.31%,"951,537",130.82,130.86,131.2599,129.24,4.65,17.90%,0.77
COTY,16.55,+.23,+1.41%,"211,449",16.54,16.55,16.57,16.19,-.26,40.86%,0.333
CPHD,51.295,+1.215,+2.43%,"432,431",51.25,51.29,51.76,49.86,-.4,33.76%,0.419
CPLP,9.16,-.26,-2.76%,"158,691",9.15,9.18,9.40,9.10,1.1,43.28%,0.159
CPRT,32.5463,-.2837,-0.86%,"375,291",32.54,32.55,32.79,32.52,1.36,++,0.172
CPRX,2.6500,+.07,+2.71%,"224,651",2.6500,2.6600,2.6800,2.5500,-.27,74.81%,0.984
CPWR,10.095,+.055,+0.55%,"522,738",10.09,10.10,10.11,10.02,.16,19.99%,1.299
CPXX,2.22,-.03,-1.33%,"164,913",2.20,2.22,2.31,2.15,-.53,,
CRAY,29.54,+.25,+0.85%,"89,221",29.52,29.57,29.60,28.41,.51,69.16%,0.285
CREE,30.53,+.86,+2.90%,"1,666,590",30.53,30.54,30.63,29.38,.85,41.69%,0.798
CREG,1.2799,+.0299,+2.39%,"100,338",1.2700,1.2800,1.3000,1.2100,.31,251.75%,0.391
CRIS,1.28,-.04,-3.03%,"111,518",1.28,1.29,1.36,1.28,-.16,135.88%,0.566
CROX,12.01,-.02,-0.17%,"366,270",12.01,12.02,12.05,11.74,-.35,50.93%,5.301
CRTO,29.29,-.82,-2.72%,"115,275",29.19,29.34,30.44,28.96,0,65.48%,0.239
CRUS,21.26,-.31,-1.44%,"344,602",21.25,21.27,21.58,20.99,1.5,49.18%,0.342
CRZO,46.39,-1.91,-3.95%,"883,271",46.34,46.39,47.15,44.42,-.21,56.29%,0.528
CSCO,23.78,0,0.00%,"7,099,925",23.77,23.78,23.81,23.60,1.49,27.86%,0.454
CSIQ,28.84,-.70,-2.37%,"1,395,696",28.80,28.85,29.44,28.26,2.07,83.02%,0.583
CSLT,12.13,+.44,+3.76%,"253,627",12.13,12.15,12.36,11.7338,0,95.24%,1.4
CSOD,33.92,+.29,+0.86%,"203,084",33.92,33.97,34.10,32.67,-1.04,76.14%,0.207
CSTM,20.45,-.13,-0.63%,"1,127,235",20.45,20.46,21.62,20.42,0,56.47%,1.9
